id,topic,category,fingerprint,hook,core_fact,script,script_version,editorial_score,status,fact_check_verdict,production_approval,publication_approval,video_uri,video_sha256,duration_seconds,created_at,updated_at
FCT-001,An animal was exposed to raw space vacuum and lived,Weird science,3d99a5dda57d47aa0321410ecc8b83df124e8b6ff073bdc3218ad2f3cafa9e37,Some dried-out tardigrades survived exposure to space vacuum. Sunlight was a much tougher test.,"Roughly 3,000 tardigrades flew on ESA's Foton-M3 mission and were exposed to open space for 12 days in September 2007 ([ESA](https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Research/Tiny_animals_survive_exposure_to_space)); the exposure took place in low Earth orbit at about 270 km ([ScienceDaily on Jönsson et al.](https://www.sciencedaily.com/releases/2008/09/080908135906.htm)). Most survived the combination of vacuum and cosmic radiation, and survivors reproduced normally ([ScienceDaily](https://www.sciencedaily.com/releases/2008/09/080908135906.htm)). **Qualification that matters:** adding solar ultraviolet radiation — more than 1,000× the surface-of-Earth level — sharply cut survival; ""only a handful of animals survived full exposure to the Sun's UV light,"" while in one species 68% of specimens shielded from higher-energy solar radiation revived within 30 minutes of rehydration ([New Scientist](https://www.newscientist.com/article/dn14690-water-bears-are-first-animal-to-survive-space-vacuum/)). A review confirms the space vacuum was survivable while UV, solar ionising and galactic cosmic radiation together significantly reduced survival ([Tardigrades in Space Research, PMC](https://pmc.ncbi.nlm.nih.gov/articles/PMC5705745/)). Published as Jönsson, Rabbow, Schill, Harms-Ringdahl & Rettberg, *Current Biology* 18:729–731, 2008, DOI 10.1016/j.cub.2008.06.048 ([PMC](https://pmc.ncbi.nlm.nih.gov/articles/PMC5705745/)). Species: *Milnesium tardigradum* and *Richtersius coronifer* ([PMC](https://pmc.ncbi.nlm.nih.gov/articles/PMC5705745/)).",,0,8.0,Needs research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-002,One Siberian lake versus every other lake and river on Earth,Geography,b15b16e6e68e6614448e744452694a34fe3d360b9a9a85cb973ce164a6d39dc7,One lake in Siberia holds about a fifth of all the liquid fresh water sitting on the surface of this planet.,"UNESCO's World Heritage inscription states Lake Baikal ""contains 20% of the world's total unfrozen freshwater reserve"" and gives its age as 25 million years ([UNESCO](https://whc.unesco.org/en/list/754/)). The UNEP-WCMC World Heritage datasheet gives a volume of 23,600 km³, a maximum depth of 1,638 m, a lake bottom 1,182 m below sea level, and describes ""over a fifth of the world's unfrozen surface fresh water"" ([UNEP-WCMC](http://world-heritage-datasheets.unep-wcmc.org/datasheet/output/site/lake-baikal/)). Britannica gives maximum depth 1,620 m, volume about 23,000 km³, age 20–25 million years, and ""about one-fifth"" of Earth's surface fresh water ([Britannica](https://www.britannica.com/place/Lake-Baikal)).",,0,7.0,Needs research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-003,The University of Queensland pitch drop,Weird science,c4b2200f1d5f493295936409509f9b5087f6e39f2e8a9ae248eb4187338bbbc2,"A physics demo set up in 1927 is still running, and in nearly a century only nine drops have fallen.","Thomas Parnell created the experiment in 1927, poured heated pitch into a sealed funnel, let it settle three years, and cut the stem in 1930; the first drop took eight years, and nine drops had fallen 87 years after the stem was cut, the most recent in April 2014 ([University of Queensland](https://smp.uq.edu.au/pitch-drop-experiment)). At room temperature the pitch is ""100 billion times more viscous than water,"" the experiment is kept in an ordinary display cabinet with no special environmental control, and it holds the Guinness World Record for longest-running laboratory experiment ([UQ](https://smp.uq.edu.au/pitch-drop-experiment)). Seven drops fell between 1930 and 1988 at roughly one every eight years; the eighth fell in 2000 and the ninth in 2014, each taking about 13 years ([UQ News](https://news.uq.edu.au/2014-04-17-pitch-drop-touches-down-oh-so-gently)). Custodian John Mainstone missed drops by one day in 1977, by five minutes in 1988, and in 2000 to a 20-minute webcam power outage ([UQ News](https://news.uq.edu.au/2014-04-17-pitch-drop-touches-down-oh-so-gently)). Independent reporting puts the viscosity estimate at about 3 × 10⁸ pascal-seconds, roughly 60 million times as viscous as molasses, and notes air-conditioning in the building lengthened the interval between drops from seven-to-nine years to more than a decade ([Chemical & Engineering News](https://cen.acs.org/articles/91/i30/Slow-Molasses-Rocket-Fueled-Egg.html)). A 1944 replica at Trinity College Dublin was the first to catch a pitch drop falling on camera ([C&EN](https://cen.acs.org/articles/91/i30/Slow-Molasses-Rocket-Fueled-Egg.html)).",,0,8.0,Research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-004,Mantis shrimp strike mechanics and cavitation,Animals,eeaf6efc926160f2939c513057897325064e2e0ec284d400feb2311b560b13b9,A mantis shrimp's strike can produce a second impact from a collapsing bubble in the water.,"In peacock mantis shrimp (*Odontodactylus scyllarus*), strike accelerations exceed 10⁵ m s⁻² and speeds exceed 20 m s⁻¹; a single strike produces two force peaks about 390–480 µs apart — the first from limb impact, the second from the collapse of a cavitation bubble — with peak limb-impact forces of 400–1,501 N ([Journal of Experimental Biology 208:3655](https://journals.biologists.com/jeb/article/208/19/3655/15838/Extreme-impact-and-cavitation-forces-of-a)). Measured maximum speeds in water are 12–23 m/s, and collapsing vapour bubbles produce heat, light and sound ([Patek Lab, Duke University](https://pateklab.biology.duke.edu/research/mechanics-of-ultrafast-movement/mechanics-of-movement-mantis-shrimp/)). The energetics span six to seven orders of magnitude of duration — spring loading 333 ms, spring release 0.9 ms, impact 49 µs, cavitation pressure wave 66 µs, bubble collapse on the nanosecond scale — with peak spring-loading forces of 10–125 N ([Integrative & Comparative Biology 59:1573](https://academic.oup.com/icb/article/59/6/1573/5531653)).",,0,7.0,Needs research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-005,Cube-shaped wombat faeces,Animals,6a76f5b022421577c8c5a1e34d38dde12d7e804d8ecf8a52918143596b3ac787,"Wombats are the only animal known to produce cube-shaped droppings, and the cubes are formed by uneven stiffness in the last stretch of the intestine.","The bare-nosed wombat (*Vombatus ursinus*), which weighs up to 35 kg, produces nearly 100 six-sided droppings a day ([Science](https://www.science.org/content/article/how-do-wombats-poop-cubes-scientists-get-bottom-mystery)). Faeces change from a liquid-like to a solid state in the last 25% of the intestine, and in the final 8% varied elasticity of the intestinal walls sculpts them into roughly 2 cm cubes; wombats stack the cubes to communicate, and the shape resists rolling away ([BBC News, 20 Nov 2018](https://www.bbc.com/news/world-australia-46258616)). Researchers found two grooves where the gut tissue is more elastic (reported 2018), then dissected two further wombats, measured differing muscle-layer thicknesses and stiffnesses, and built a 2D mathematical model of the contractions, which run over several days; the follow-up was published in the Royal Society of Chemistry journal *Soft Matter* ([Science](https://www.science.org/content/article/how-do-wombats-poop-cubes-scientists-get-bottom-mystery)). Team: Patricia Yang and David Hu, Georgia Institute of Technology, with wildlife ecologist Scott Carver of the University of Tasmania, first presented at the 71st Annual Meeting of the American Physical Society Division of Fluid Dynamics; final forms measured just under one inch per side ([NOVA/PBS](https://www.pbs.org/wgbh/nova/article/wombats-poop-cubes/)). Specimens came from wombats killed on roads or humanely euthanised by vets ([BBC](https://www.bbc.com/news/world-australia-46258616), [NOVA](https://www.pbs.org/wgbh/nova/article/wombats-poop-cubes/)).","Wombat droppings come out as cubes. Actual cubes, with flat faces and edges.
A bare-nosed wombat can leave nearly a hundred of them in a single day, each around two centimetres across.
For years nobody could explain it, because the wombat's anatomy at the exit is perfectly round.
Then engineers and a wildlife ecologist examined wombat intestines and found the shaping happens much earlier.
In the final quarter of the intestine, the contents dry from a liquid state into a solid one.
And in the last eight percent, the intestinal wall isn't uniform — some sections are stiff, some stretch — so days of contractions press flat sides and sharp corners into it.
The wombat then stacks the cubes to mark territory.
Round ones would roll away.",1,9.0,Fact check,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-006,Voyager 1 reaching one light-day from Earth,Space,62c17b87b0aac75bbd6e4101b941ef610fa2335183342386b683065facf95c8e,"In November this year, a probe launched in 1977 becomes the first human-made object one full light-day from Earth.","Voyager 1 launched 5 September 1977 at 12:56:01 UT on a Titan IIIE-Centaur from Cape Canaveral Launch Complex 41 ([NASA](https://science.nasa.gov/mission/voyager/voyager-1/)). NASA states Voyager 1 reaches one light-day from Earth on Wednesday 18 November 2026 at 2:16:07 a.m. PST — 16,094,799,096 miles (25,902,068,356 km) — which takes 49 years, 2 months and 11 days after launch, at a speed of nearly 38,000 mph (61,000 km/h); Voyager 2 is on pace for the same milestone in November 2035 ([NASA, ""What Is a Light-Day""](https://science.nasa.gov/mission/voyager/voyager-1/voyager-1-what-is-a-light-day/)). NASA's live tracker page states Voyager 1 ""will be the first human-made object to reach this distance from Earth"" and that Voyagers 1 and 2 are the only spacecraft ever to operate outside the heliosphere ([NASA](https://science.nasa.gov/mission/voyager/where-are-voyager-1-and-voyager-2-now/)). Voyager 1 was 164.7 AU from Earth as of 21 August 2024 ([NASA](https://science.nasa.gov/mission/voyager/voyager-1/)), and 171.19 AU (15.9 billion miles) as of August 2026, with the light-day milestone projected for November 2026 ([Wikipedia, Voyager 1](https://en.wikipedia.org/wiki/Voyager_1)). Voyager 1 is heading toward Gliese 445 (AC +79 3888), more than 17 light-years away, and will pass within about 1.7 light-years of it in roughly 40,000 years ([NASA](https://science.nasa.gov/mission/voyager/voyager-1/voyager-1-what-is-a-light-day/)).","This November, a spacecraft launched in nineteen seventy-seven crosses a line nothing human-made has ever crossed.
Voyager One will be one full light-day from Earth.
That means light itself, moving at about a hundred and eighty-six thousand miles every second, needs a whole day to cover the gap.
NASA puts the moment at two-sixteen in the morning Pacific time, on November the eighteenth.
Just over sixteen billion miles out.
That is forty-nine years after launch; NASA gives its speed as nearly thirty-eight thousand miles an hour.
Voyager Two won't reach the same line until twenty thirty-five.
At that distance, a radio instruction from Earth would take about a full day to arrive.",1,8.0,rendered_needs_qa,Needs review,,,https://studio.youtube.com/video/tXg8VQHOZjE/edit,,45.79,2026-09-13 00:35:05,2026-09-14 03:11:46
FCT-007,The Great Dimming of Betelgeuse,Space,f4be7f8cd9df63858f1c8076f6b5327616bb6d1f809954dde61b93028a67d897,"In 2020 one of the brightest stars in the sky faded by more than two-thirds, the internet decided it was about to explode, and the leading explanation turned out to be dust.","Betelgeuse's brightness dropped by more than a factor of three by mid-February 2020 after dimming began in October 2019, and it returned to normal brightness by April 2020 ([ESA/Hubble](https://sci.esa.int/web/hubble/-/hubble-helps-uncover-the-mystery-of-the-dimming-of-betelgeuse-heic2014)). ESO's VLT/SPHERE team concluded the star was partially concealed by a cloud of dust: it ejected a large gas bubble, a patch of surface cooled, and the temperature drop let the gas condense into solid dust — and the event ""was not an early sign that Betelgeuse was heading toward a supernova explosion""; published in *Nature* on 16 June 2021, led by Miguel Montargès ([ESO](https://www.eso.org/public/news/eso2109/)). Hubble ultraviolet spectroscopy independently indicated superhot plasma from a convection-cell upwelling that cooled into dust, blocking light from about a quarter of the star's surface, with the ejected material two to four times more luminous than the star's normal brightness ([ESA/Hubble](https://sci.esa.int/web/hubble/-/hubble-helps-uncover-the-mystery-of-the-dimming-of-betelgeuse-heic2014)). **Qualification:** the mechanism is still debated. A tomography study in *Astronomy & Astrophysics* records the dimming as ~1 magnitude between October 2019 and February 2020 and argues for two line-of-sight shocks (February 2018 and January 2019) combining with convection and a ~400-day pulsation cycle to raise molecular opacity in cooled outer layers; it lists competing explanations including a ~200 K photospheric temperature drop and a dark spot covering ~50% of the surface ([A&A 2021](https://www.aanda.org/articles/aa/full_html/2021/06/aa39801-20/aa39801-20.html)).",,0,7.0,Research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-008,Nintendo's 1889 founding,Business,cbfbe040954c20466f9946fe0cea062e752e8a345b4dd47588aad07815e5c93a,"Nintendo began making Japanese playing cards in Kyoto in 1889, long before its video-game business.","Nintendo's own corporate history states that in 1889 Fusajiro Yamauchi began manufacturing and selling Japanese *hanafuda* playing cards in Shimogyo-ku, Kyoto ([Nintendo Co., Ltd.](https://www.nintendo.co.jp/corporate/en/history/index.html)); Nintendo's careers site repeats 1889, Fusajiro Yamauchi, hanafuda, Kyoto ([Nintendo Careers](https://careers.nintendo.com/our-history/)). Independent reporting dates the founding to 23 September 1889 in Kyoto and describes the cards as brightly coloured, beautifully decorated, handmade, divided into 12 suits — one per month — using pictures instead of numbers; ""hanafuda"" means ""flower cards"" ([BBC Newsround](https://www.bbc.co.uk/newsround/articles/c79n845rrj0o)).",,0,8.0,Needs research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-009,Saharan dust transport to the Amazon basin,Geography / Earth science,21a88c7946e42ea6a30eb0b558c0161d31c65cf4da5c2d56da952b9180aae560,The Amazon is partly fertilised by phosphorus that blows across the Atlantic from an ancient dried-up lake bed in Chad.,"Using lidar on NASA's CALIPSO satellite over 2007–2013, researchers estimated 182 million tons of dust per year leaves the western edge of the Sahara (15°W), 132 million tons remains airborne near South America's east coast (35°W), and an average 27.7 million tons per year falls over the Amazon basin — enough to fill 104,908 semi trucks — carrying an estimated 22,000 tons of phosphorus a year, about the same amount the Amazon loses to rain and flooding; the phosphorus-rich mineral source is the Bodélé Depression in Chad, an ancient lake bed of dead microorganisms ([NASA](https://www.nasa.gov/missions/calipso/nasa-satellite-reveals-how-much-saharan-dust-feeds-amazons-plants/)). About 43 million tons continues past 75°W to the Caribbean ([NASA](https://www.nasa.gov/missions/calipso/nasa-satellite-reveals-how-much-saharan-dust-feeds-amazons-plants/)). The study is Yu et al., ""The Fertilizing Role of African Dust in the Amazon Rainforest,"" *Geophysical Research Letters*, 2015 — the first multi-year 3-D assessment of the transport ([NASA Scientific Visualization Studio](https://svs.gsfc.nasa.gov/11775/)). **Qualification:** phosphorus makes up about 0.08% of the dust, the amount reaching the Amazon was hugely variable across the seven years, Sahel rainfall may drive that variability, and the authors said more long-term research is needed ([Mongabay](https://news.mongabay.com/2015/03/how-the-sahara-keeps-the-amazon-rainforest-going/)).",,0,8.0,Needs research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-010,"Point Roberts, Washington",Geography,62f30cbe88722b56ec1a3c9f713d5751e837032933a79cb0c6cc261b501b82f5,"Point Roberts is part of Washington State, but driving there from the rest of the mainland United States means passing through Canada.","Point Roberts is a village at the tip of a peninsula that juts south from British Columbia and is cut by the international boundary; it is a ""pene-exclave"" — territory of one country reachable by land only through another — surrounded on three sides by the Strait of Georgia and Boundary Bay, and reachable overland from the US only via British Columbia, clearing both Canadian and US customs. Population 1,191 in 2020; Vancouver is under 20 miles north; the 49th-parallel boundary was agreed by the US and Britain in 1846, and George Vancouver named the point in 1792 ([Britannica](https://www.britannica.com/place/Point-Roberts)). It covers about five square miles, has almost 1,300 full-time residents, and everyone arriving other than by private plane or boat drives in from Canada, passing two international border stations; schoolchildren past third grade ride a bus to Blaine, Washington on a round trip of more than 50 miles through Canada ([BBC Travel](https://www.bbc.com/travel/article/20191201-a-us-town-only-reached-through-canada)). Most property owners are Canadian and many residents hold dual citizenship; the permanent population is given as 1,000 ([El País](https://english.elpais.com/international/2025-03-28/point-roberts-the-american-exclave-that-depends-on-canada.html)).",,0,8.0,Research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-011,The Baarle-Hertog / Baarle-Nassau enclave complex,Geography,1ea9407c1cc82f328ed45ab0a645537b70cae4b13b3357c208e683f620d01b3a,"Baarle, on the Belgian-Dutch border, contains 30 enclaves — 22 Belgian, 7 Dutch inside the two largest Belgian ones, and 1 more Dutch enclave inside Belgium. ""30 enclaves"" is not ""30 borders"" and does not include either mainland.","There are 30 enclaves in total; the 22 Belgian enclaves of Baarle-Hertog are completely surrounded by Dutch Baarle-Nassau; the two largest Belgian enclaves contain seven Dutch enclaves; and one additional Dutch enclave lies south of the national border inside the Belgian mainland ([Gemeente Baarle-Hertog](https://www.baarle-hertog.be/30-enclaves)). The enclaves were numbered H1–H22 and N1–N8 when they were formally raised to national borders in 1995, and the boundaries run through streets, houses and bedrooms ([Visit Baarle](https://m-en.visitbaarle.com/locaties/enclaves-5e43f39e38374665355357fe)). The border runs through private homes, restaurants, cafés, museums and galleries, is marked across the town with white crosses, and traces to 1198, when Duke Hendrik I of Brabant leased Baarle land to the lord of Breda — the lord taking only uncultivated properties, the duke keeping cultivated land ([DW](https://www.dw.com/en/baarle-the-town-where-borders-run-riot/a-57631603)). The 1198 origin is independently confirmed: in 1198 Godfried II van Schoten, lord of Breda, allied with Duke Hendrik I and received land around Baarle, while the duke kept the already-cleared, inhabited plots because he drew tax income from them ([National Geographic NL](https://www.nationalgeographic.nl/geschiedenis-archeologie/a70198587/baarle-hertog-nassau-unieke-grens); [Visit Baarle history](https://m-en.visitbaarle.com/informatie/geschiedenis); [nl.wikipedia](https://nl.wikipedia.org/wiki/Enclavegeschiedenis_van_Baarle)). Composition confirmed independently as 22 Belgian enclaves + 7 Dutch exclaves inside them + 1 in Zondereigen, with the 1974 Turnhout agreement and 1995 official recognition ([grenspalen.nl](https://www.grenspalen.nl/archief/baarle-nassau-in-english.html)); the boundary runs through businesses and private residences and border markers run along sidewalks ([DutchNews](https://www.dutchnews.nl/2021/08/dutch-destinations-untangle-the-history-of-baarle-nassau-baarle-hertog/)); per-enclave building splits are itemised in [Wikipedia](https://en.wikipedia.org/wiki/Baarle-Hertog).","This is Dutch land, inside Belgian land, inside the Netherlands.
It's Baarle, where Belgian and Dutch territory form thirty separate enclaves.
Twenty-two are Belgian, and each one is completely surrounded by Dutch territory.
Inside the two largest of those sit seven Dutch enclaves.
One more lies south of the national border, inside Belgium.
Twenty-two, plus seven, plus one.
The cause is a deal from eleven ninety-eight: the Duke of Brabant kept the plots already cleared and taxable; the land around them went to the lord of Breda.
The last of those enclave borders was only made official in nineteen ninety-five.
The line runs through houses and shops, and where it crosses a street, it's marked in the pavement.",1,9.0,rendered_needs_qa,Needs review,,,https://studio.youtube.com/video/1He801XCZO4/edit,,51.037,2026-09-13 00:35:05,2026-09-14 02:27:26
FCT-012,"*Turritopsis dohrnii*, the ""immortal jellyfish""",Animals,05476e5b2aa2aed503665c5a848f63b6863d1615509190cfb395894b5914a6d4,"There is a jellyfish that, when injured or stressed, can collapse into a blob and grow back as its own juvenile stage — the equivalent of a butterfly turning back into a caterpillar.","When physically damaged, senescent, or under adverse conditions, the *T. dohrnii* medusa can reverse its life cycle: it shrinks, loses swimming competence, settles, and becomes a cyst-like stage with a thin chitinous envelope and no recognisable medusa or polyp features, involving tissue reorganisation and cell transdifferentiation; within 24–36 hours the cyst develops polyp-typical features and rejoins the normal polyp-to-medusa sequence (Matsumoto, Piraino & Miglietta, *G3* 9(12):4127–4138, 2019, DOI 10.1534/g3.119.400487) ([PMC](https://pmc.ncbi.nlm.nih.gov/articles/PMC6893190/)). It was first observed in the 1980s by Giorgio Bavestrello (University of Genoa) and Christian Sommer (Ruhr University Bochum) after they left reared medusae over a weekend and found polyps at the bottom of the jar — the first evidence of an organism reverting from a sexually mature stage to a juvenile stage without producing gametes and dying; Stefano Piraino and colleagues replicated it with wild-caught animals, and the animals were later shown to be able to reverse development multiple times ([The Scientist](https://www.the-scientist.com/an-immortal-jellyfish-offers-clues-into-biological-aging-73346)). The capability is why the species was nicknamed ""the immortal jellyfish""; it was initially referred to as *Turritopsis nutricula* ([Italian Journal of Zoology](https://www.tandfonline.com/doi/full/10.1080/11250003.2016.1203034)).",,0,8.0,Research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
FCT-013,Naked mole-rat anoxia tolerance,Weird science,0a735ff4623f2ccf45aad7e0181d1c9eef309d13740569e296ceb8312072c831,"In a 2017 lab study, naked mole-rats spent 18 minutes in an atmosphere with zero oxygen and walked away — by switching their metabolism to run on fructose.","In Park et al., ""Fructose-driven glycolysis supports anoxia resistance in the naked mole-rat,"" *Science* 356:307–311, 21 April 2017 (DOI 10.1126/science.aab3896): naked mole-rats tolerated 5% oxygen for 5 hours with no apparent ill effects while mice died in under 15 minutes; in 0% oxygen the mole-rats lost consciousness in about 30 seconds, made sporadic breathing attempts for a mean of 250 ± 2.2 seconds (n = 4), recovered from 18-minute exposures and rejoined their colony without neurological or behavioural deficits, but never recovered from 30 minutes; their heart rate fell within 2 minutes from about 200 to a steady 50 beats per minute. Mice stopped breathing after 45 ± 5 seconds and none recovered (n = 4) ([Science, PDF](https://www.science.org/doi/pdf/10.1126/science.aab3896)). An accompanying peer commentary confirms full recovery from 18 minutes of complete anoxia, notes the animals do not rely on large glycogen stores unlike anoxia-tolerant fish and turtles, and that metabolomics found extraordinarily high fructose concentrations, with stable isotopes confirming fructose substituting for glucose as anaerobic fuel in brain and heart (Storz & McClelland, *Science* 356(6335):248–249) ([PMC](https://pmc.ncbi.nlm.nih.gov/articles/PMC6661067/)). In mole-rat brains fructose is metabolised to lactate, which does not happen in oxygen-deprived mouse brains ([EurekAlert](https://www.eurekalert.org/news-releases/726340)).",,0,8.0,Research,Needs review,,,,,,2026-09-13 00:35:05,2026-09-13 00:35:05
